Relatorio de Energia Eletrica	
Equipamento: 	GATE MED 2	
Medição: 	[10] SE MOTORES - LABORATORIOS	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	28890.9	
Acumulado Fora Ponta Ind	170697.8	
Acumulado Fora Ponta Cap	44955.8	
Acumulado Fora Ponta (Ind+Cap)	215653.6	
Acumulado Total	244544.5	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:00	865.1	Fora Ponta Cap	828.4	Fora Ponta Cap	828.1	Fora Ponta Cap	845.4	Fora Ponta Cap	872.2	Fora Ponta Cap	733.5	Fora Ponta Cap	-151.1	Fora Ponta Cap	-176.8	Fora Ponta Cap	867.0	Fora Ponta Cap	876.3	Fora Ponta Cap		
02:00	830.2	Fora Ponta Cap	783.0	Fora Ponta Cap	831.5	Fora Ponta Cap	813.8	Fora Ponta Cap	816.3	Fora Ponta Cap	698.2	Fora Ponta Cap	-149.8	Fora Ponta Cap	-174.6	Fora Ponta Cap	809.8	Fora Ponta Cap	861.0	Fora Ponta Cap		
03:00	858.6	Fora Ponta Cap	891.1	Fora Ponta Cap	821.8	Fora Ponta Cap	852.4	Fora Ponta Cap	846.7	Fora Ponta Cap	711.1	Fora Ponta Cap	-148.2	Fora Ponta Cap	-162.7	Fora Ponta Cap	903.0	Fora Ponta Cap	866.8	Fora Ponta Cap		
04:00	1009.9	Fora Ponta Cap	1013.1	Fora Ponta Cap	990.1	Fora Ponta Cap	997.1	Fora Ponta Cap	993.5	Fora Ponta Cap	7.1	Ponta	-149.7	Fora Ponta Cap	-161.8	Fora Ponta Cap	1005.3	Fora Ponta Cap	1064.7	Fora Ponta Cap		
05:00	1136.6	Fora Ponta Cap	1123.8	Fora Ponta Cap	1155.3	Fora Ponta Cap	1146.9	Fora Ponta Cap	1144.8	Fora Ponta Cap	0.0	Fora Ponta Cap	-149.2	Fora Ponta Cap	-162.5	Fora Ponta Cap	1103.5	Fora Ponta Cap	1137.6	Fora Ponta Cap		
06:00	1634.8	Fora Ponta Cap	1702.1	Fora Ponta Cap	1684.9	Fora Ponta Cap	1805.5	Fora Ponta Cap	1785.2	Fora Ponta Cap	0.0	Fora Ponta Cap	-97.8	Fora Ponta Cap	-157.9	Fora Ponta Cap	1639.2	Fora Ponta Cap	1605.6	Fora Ponta Cap		
07:00	1677.5	Fora Ponta Ind	1828.7	Fora Ponta Ind	1749.2	Fora Ponta Ind	1831.1	Fora Ponta Ind	1802.7	Fora Ponta Ind	-147.8	Fora Ponta Ind	-153.7	Fora Ponta Ind	-163.3	Fora Ponta Ind	1710.4	Fora Ponta Ind	1660.6	Fora Ponta Ind		
08:00	1698.5	Fora Ponta Ind	1754.2	Fora Ponta Ind	1742.9	Fora Ponta Ind	1787.6	Fora Ponta Ind	1778.8	Fora Ponta Ind	-153.5	Fora Ponta Ind	-187.0	Fora Ponta Ind	-191.0	Fora Ponta Ind	1730.9	Fora Ponta Ind	1737.7	Fora Ponta Ind		
09:00	1756.1	Fora Ponta Ind	1764.0	Fora Ponta Ind	1785.6	Fora Ponta Ind	1741.2	Fora Ponta Ind	1773.6	Fora Ponta Ind	-150.3	Fora Ponta Ind	-226.1	Fora Ponta Ind	-199.5	Fora Ponta Ind	1694.3	Fora Ponta Ind	1780.9	Fora Ponta Ind		
