Relatorio de Energia Eletrica	
Equipamento: 	GATE MED 2	
Medição: 	[2] COMPRESSOR	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	18665.5	
Acumulado Fora Ponta Ind	124612.8	
Acumulado Fora Ponta Cap	43819.3	
Acumulado Fora Ponta (Ind+Cap)	168432.0	
Acumulado Total	187097.5	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:00	775.5	Fora Ponta Cap	726.0	Fora Ponta Cap	775.8	Fora Ponta Cap	792.8	Fora Ponta Cap	796.5	Fora Ponta Cap	330.5	Fora Ponta Cap	575.0	Fora Ponta Cap	786.5	Fora Ponta Cap	776.8	Fora Ponta Cap	827.0	Fora Ponta Cap		
02:00	777.8	Fora Ponta Cap	791.3	Fora Ponta Cap	757.3	Fora Ponta Cap	835.8	Fora Ponta Cap	790.5	Fora Ponta Cap	334.8	Fora Ponta Cap	574.0	Fora Ponta Cap	775.5	Fora Ponta Cap	806.8	Fora Ponta Cap	821.0	Fora Ponta Cap		
03:00	778.0	Fora Ponta Cap	776.5	Fora Ponta Cap	789.0	Fora Ponta Cap	810.0	Fora Ponta Cap	751.0	Fora Ponta Cap	335.3	Fora Ponta Cap	567.3	Fora Ponta Cap	778.3	Fora Ponta Cap	846.0	Fora Ponta Cap	788.3	Fora Ponta Cap		
04:00	791.0	Fora Ponta Cap	799.8	Fora Ponta Cap	830.3	Fora Ponta Cap	766.3	Fora Ponta Cap	755.0	Fora Ponta Cap	3.8	Ponta	570.3	Fora Ponta Cap	787.8	Fora Ponta Cap	810.3	Fora Ponta Cap	812.3	Fora Ponta Cap		
05:00	811.8	Fora Ponta Cap	753.8	Fora Ponta Cap	837.3	Fora Ponta Cap	783.8	Fora Ponta Cap	778.8	Fora Ponta Cap	3.0	Fora Ponta Cap	565.3	Fora Ponta Cap	805.5	Fora Ponta Cap	815.0	Fora Ponta Cap	815.3	Fora Ponta Cap		
06:00	888.3	Fora Ponta Cap	869.5	Fora Ponta Cap	902.8	Fora Ponta Cap	899.3	Fora Ponta Cap	844.5	Fora Ponta Cap	356.3	Fora Ponta Cap	757.5	Fora Ponta Cap	914.8	Fora Ponta Cap	918.5	Fora Ponta Cap	926.0	Fora Ponta Cap		
07:00	947.5	Fora Ponta Ind	853.8	Fora Ponta Ind	1012.0	Fora Ponta Ind	952.8	Fora Ponta Ind	910.0	Fora Ponta Ind	472.8	Fora Ponta Ind	881.8	Fora Ponta Ind	969.3	Fora Ponta Ind	966.3	Fora Ponta Ind	951.8	Fora Ponta Ind		
08:00	930.8	Fora Ponta Ind	905.0	Fora Ponta Ind	1006.0	Fora Ponta Ind	939.0	Fora Ponta Ind	921.3	Fora Ponta Ind	538.0	Fora Ponta Ind	890.5	Fora Ponta Ind	934.5	Fora Ponta Ind	963.0	Fora Ponta Ind	869.0	Fora Ponta Ind		
09:00	975.0	Fora Ponta Ind	954.5	Fora Ponta Ind	930.0	Fora Ponta Ind	901.5	Fora Ponta Ind	891.8	Fora Ponta Ind	563.8	Fora Ponta Ind	876.8	Fora Ponta Ind	932.5	Fora Ponta Ind	922.3	Fora Ponta Ind	957.3	Fora Ponta Ind		
10:00	911.3	Fora Ponta Ind	962.8	Fora Ponta Ind	908.5	Fora Ponta Ind	877.8	Fora Ponta Ind	922.0	Fora Ponta Ind	552.3	Fora Ponta Ind	871.8	Fora Ponta Ind	951.5	Fora Ponta Ind	923.3	Fora Ponta Ind	970.3	Fora Ponta Ind		
11:00	916.5	Fora Ponta Ind	896.3	Fora Ponta Ind	852.8	Fora Ponta Ind	868.3	Fora Ponta Ind	860.3	Fora Ponta Ind	586.5	Fora Ponta Ind	833.8	Fora Ponta Ind	861.3	Fora Ponta Ind	918.3	Fora Ponta Ind	894.5	Fora Ponta Ind		
12:00	864.8	Fora Ponta Ind	853.5	Fora Ponta Ind	817.8	Fora Ponta Ind	807.8	Fora Ponta Ind	836.3	Fora Ponta Ind	545.8	Fora Ponta Ind	841.0	Fora Ponta Ind	819.3	Fora Ponta Ind	844.0	Fora Ponta Ind	840.3	Fora Ponta Ind		
