Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[0] COMPRESSORES F1 E MOTORES	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	7466.2	
Acumulado Fora Ponta Ind	49845.1	
Acumulado Fora Ponta Cap	17508.8	
Acumulado Fora Ponta (Ind+Cap)	67353.9	
Acumulado Total	74820.1	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:30	312.5	Fora Ponta Cap	306.0	Fora Ponta Cap	307.8	Fora Ponta Cap	326.2	Fora Ponta Cap	319.3	Fora Ponta Cap	132.8	Fora Ponta Cap	230.7	Fora Ponta Cap	310.3	Fora Ponta Cap	313.7	Fora Ponta Cap	332.8	Fora Ponta Cap		
02:30	310.7	Fora Ponta Cap	312.9	Fora Ponta Cap	307.6	Fora Ponta Cap	337.4	Fora Ponta Cap	309.7	Fora Ponta Cap	135.0	Fora Ponta Cap	227.5	Fora Ponta Cap	311.6	Fora Ponta Cap	333.3	Fora Ponta Cap	322.8	Fora Ponta Cap		
03:30	311.0	Fora Ponta Cap	306.1	Fora Ponta Cap	321.3	Fora Ponta Cap	309.4	Fora Ponta Cap	296.7	Fora Ponta Cap	67.8	Ponta	227.2	Fora Ponta Cap	313.6	Fora Ponta Cap	330.7	Fora Ponta Cap	319.8	Fora Ponta Cap		
04:30	323.2	Fora Ponta Cap	319.2	Fora Ponta Cap	343.2	Fora Ponta Cap	304.2	Fora Ponta Cap	302.1	Fora Ponta Cap	0.0	Ponta	228.3	Fora Ponta Cap	319.4	Fora Ponta Cap	326.8	Fora Ponta Cap	325.0	Fora Ponta Cap		
05:30	331.7	Fora Ponta Cap	322.6	Fora Ponta Cap	330.9	Fora Ponta Cap	329.2	Fora Ponta Cap	326.1	Fora Ponta Cap	72.3	Fora Ponta Cap	247.9	Fora Ponta Cap	332.9	Fora Ponta Cap	329.0	Fora Ponta Cap	345.8	Fora Ponta Cap		
06:30	376.0	Fora Ponta Ind	345.5	Fora Ponta Ind	395.6	Fora Ponta Ind	390.9	Fora Ponta Ind	344.4	Fora Ponta Ind	165.8	Fora Ponta Ind	342.2	Fora Ponta Ind	386.4	Fora Ponta Ind	392.0	Fora Ponta Ind	377.5	Fora Ponta Ind		
07:30	367.6	Fora Ponta Ind	358.2	Fora Ponta Ind	404.1	Fora Ponta Ind	373.8	Fora Ponta Ind	379.4	Fora Ponta Ind	199.9	Fora Ponta Ind	364.7	Fora Ponta Ind	380.8	Fora Ponta Ind	390.0	Fora Ponta Ind	364.3	Fora Ponta Ind		
08:30	388.6	Fora Ponta Ind	367.7	Fora Ponta Ind	386.2	Fora Ponta Ind	363.2	Fora Ponta Ind	360.7	Fora Ponta Ind	223.9	Fora Ponta Ind	340.6	Fora Ponta Ind	370.2	Fora Ponta Ind	373.5	Fora Ponta Ind	359.7	Fora Ponta Ind		
09:30	377.7	Fora Ponta Ind	388.3	Fora Ponta Ind	362.8	Fora Ponta Ind	369.5	Fora Ponta Ind	363.3	Fora Ponta Ind	222.9	Fora Ponta Ind	349.4	Fora Ponta Ind	386.0	Fora Ponta Ind	369.7	Fora Ponta Ind	395.4	Fora Ponta Ind		
