Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[10] FUNDIÇÃO 1- COMPRESSOR	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	85529.0	
Acumulado Fora Ponta Ind	724732.0	
Acumulado Fora Ponta Cap	287866.3	
Acumulado Fora Ponta (Ind+Cap)	1012598.3	
Acumulado Total	1098127.3	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:30	6850.8	Fora Ponta Cap	2718.3	Fora Ponta Cap	6018.0	Fora Ponta Cap	6293.0	Fora Ponta Cap	6157.0	Fora Ponta Cap	1508.0	Fora Ponta Cap	4259.5	Fora Ponta Cap	4841.0	Fora Ponta Cap	4116.5	Fora Ponta Cap	4498.3	Fora Ponta Cap		
02:30	6201.8	Fora Ponta Cap	7276.3	Fora Ponta Cap	6378.8	Fora Ponta Cap	4518.3	Fora Ponta Cap	6234.0	Fora Ponta Cap	4454.3	Fora Ponta Cap	4123.5	Fora Ponta Cap	4796.5	Fora Ponta Cap	6250.5	Fora Ponta Cap	5801.5	Fora Ponta Cap		
03:30	5624.8	Fora Ponta Cap	6337.5	Fora Ponta Cap	5856.5	Fora Ponta Cap	6770.0	Fora Ponta Cap	4844.0	Fora Ponta Cap	1141.0	Ponta	4888.5	Fora Ponta Cap	4442.5	Fora Ponta Cap	6138.3	Fora Ponta Cap	4309.5	Fora Ponta Cap		
04:30	7043.8	Fora Ponta Cap	6431.0	Fora Ponta Cap	5702.8	Fora Ponta Cap	6021.5	Fora Ponta Cap	5564.0	Fora Ponta Cap	0.0	Ponta	5717.5	Fora Ponta Cap	5089.8	Fora Ponta Cap	6182.0	Fora Ponta Cap	3215.0	Fora Ponta Cap		
05:30	5726.0	Fora Ponta Cap	2232.0	Fora Ponta Cap	4783.8	Fora Ponta Cap	6021.8	Fora Ponta Cap	6441.0	Fora Ponta Cap	482.3	Fora Ponta Cap	4052.0	Fora Ponta Cap	5566.0	Fora Ponta Cap	5415.5	Fora Ponta Cap	4369.3	Fora Ponta Cap		
06:30	5251.3	Fora Ponta Ind	1621.0	Fora Ponta Ind	4370.3	Fora Ponta Ind	6047.5	Fora Ponta Ind	4652.5	Fora Ponta Ind	2520.3	Fora Ponta Ind	3961.8	Fora Ponta Ind	2908.0	Fora Ponta Ind	3899.0	Fora Ponta Ind	4358.0	Fora Ponta Ind		
07:30	7561.5	Fora Ponta Ind	2314.0	Fora Ponta Ind	5464.0	Fora Ponta Ind	6759.8	Fora Ponta Ind	5592.3	Fora Ponta Ind	2598.0	Fora Ponta Ind	3482.0	Fora Ponta Ind	5149.0	Fora Ponta Ind	6059.0	Fora Ponta Ind	6727.0	Fora Ponta Ind		
08:30	6185.5	Fora Ponta Ind	4439.8	Fora Ponta Ind	5600.3	Fora Ponta Ind	5755.8	Fora Ponta Ind	5316.5	Fora Ponta Ind	3424.8	Fora Ponta Ind	6296.8	Fora Ponta Ind	4979.3	Fora Ponta Ind	7449.3	Fora Ponta Ind	5477.8	Fora Ponta Ind		
09:30	6959.8	Fora Ponta Ind	7164.0	Fora Ponta Ind	5757.8	Fora Ponta Ind	5277.8	Fora Ponta Ind	4636.0	Fora Ponta Ind	4126.0	Fora Ponta Ind	6137.3	Fora Ponta Ind	4894.0	Fora Ponta Ind	3985.3	Fora Ponta Ind	5729.8	Fora Ponta Ind		
