Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[2] LABORATÓRIOS	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	4457.2	
Acumulado Fora Ponta Ind	31603.9	
Acumulado Fora Ponta Cap	9040.8	
Acumulado Fora Ponta (Ind+Cap)	40644.7	
Acumulado Total	45101.9	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:30	168.3	Fora Ponta Cap	168.2	Fora Ponta Cap	174.9	Fora Ponta Cap	171.1	Fora Ponta Cap	174.2	Fora Ponta Cap	165.8	Fora Ponta Cap	148.6	Fora Ponta Cap	176.4	Fora Ponta Cap	151.3	Fora Ponta Cap	157.3	Fora Ponta Cap		
02:30	163.4	Fora Ponta Cap	159.7	Fora Ponta Cap	167.2	Fora Ponta Cap	156.5	Fora Ponta Cap	168.7	Fora Ponta Cap	168.3	Fora Ponta Cap	148.1	Fora Ponta Cap	167.5	Fora Ponta Cap	140.6	Fora Ponta Cap	151.9	Fora Ponta Cap		
03:30	163.1	Fora Ponta Cap	153.0	Fora Ponta Cap	167.4	Fora Ponta Cap	157.9	Fora Ponta Cap	166.0	Fora Ponta Cap	85.0	Ponta	150.5	Fora Ponta Cap	164.2	Fora Ponta Cap	143.8	Fora Ponta Cap	150.4	Fora Ponta Cap		
04:30	159.1	Fora Ponta Cap	153.3	Fora Ponta Cap	167.6	Fora Ponta Cap	154.9	Fora Ponta Cap	165.6	Fora Ponta Cap	0.0	Ponta	151.0	Fora Ponta Cap	160.8	Fora Ponta Cap	137.5	Fora Ponta Cap	150.0	Fora Ponta Cap		
05:30	161.9	Fora Ponta Cap	148.1	Fora Ponta Cap	163.9	Fora Ponta Cap	151.3	Fora Ponta Cap	163.0	Fora Ponta Cap	0.0	Fora Ponta Cap	110.6	Fora Ponta Cap	161.4	Fora Ponta Cap	138.9	Fora Ponta Cap	148.5	Fora Ponta Cap		
06:30	160.3	Fora Ponta Ind	158.4	Fora Ponta Ind	165.6	Fora Ponta Ind	154.9	Fora Ponta Ind	163.8	Fora Ponta Ind	68.5	Fora Ponta Ind	135.0	Fora Ponta Ind	159.4	Fora Ponta Ind	135.9	Fora Ponta Ind	151.1	Fora Ponta Ind		
07:30	168.0	Fora Ponta Ind	163.3	Fora Ponta Ind	178.1	Fora Ponta Ind	164.9	Fora Ponta Ind	160.9	Fora Ponta Ind	155.0	Fora Ponta Ind	162.9	Fora Ponta Ind	170.5	Fora Ponta Ind	148.4	Fora Ponta Ind	161.1	Fora Ponta Ind		
08:30	209.0	Fora Ponta Ind	215.2	Fora Ponta Ind	229.2	Fora Ponta Ind	217.0	Fora Ponta Ind	165.1	Fora Ponta Ind	154.0	Fora Ponta Ind	218.6	Fora Ponta Ind	206.3	Fora Ponta Ind	174.7	Fora Ponta Ind	195.0	Fora Ponta Ind		
09:30	228.1	Fora Ponta Ind	236.3	Fora Ponta Ind	253.4	Fora Ponta Ind	239.5	Fora Ponta Ind	172.8	Fora Ponta Ind	151.2	Fora Ponta Ind	224.2	Fora Ponta Ind	195.1	Fora Ponta Ind	191.6	Fora Ponta Ind	205.9	Fora Ponta Ind		
