Relatorio de Energia Eletrica	
Equipamento: 	SMART BASE 1	
Medição: 	[4] CONTROLE GERAL	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	185614.8	
Acumulado Fora Ponta Ind	1474082.4	
Acumulado Fora Ponta Cap	560495.6	
Acumulado Fora Ponta (Ind+Cap)	2034578.0	
Acumulado Total	2220192.8	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:00	10441.2	Fora Ponta Cap	4855.2	Fora Ponta Cap	10819.2	Fora Ponta Cap	10124.8	Fora Ponta Cap	8178.8	Fora Ponta Cap	2408.0	Fora Ponta Cap	6042.4	Fora Ponta Cap	8920.8	Fora Ponta Cap	8954.4	Fora Ponta Cap	9181.2	Fora Ponta Cap		
02:00	10278.8	Fora Ponta Cap	10326.4	Fora Ponta Cap	11306.4	Fora Ponta Cap	9186.8	Fora Ponta Cap	13736.8	Fora Ponta Cap	4620.0	Fora Ponta Cap	9651.6	Fora Ponta Cap	9436.0	Fora Ponta Cap	9878.4	Fora Ponta Cap	9830.8	Fora Ponta Cap		
03:00	10497.2	Fora Ponta Cap	10936.8	Fora Ponta Cap	9464.0	Fora Ponta Cap	11482.8	Fora Ponta Cap	10878.0	Fora Ponta Cap	5076.4	Fora Ponta Cap	9396.8	Fora Ponta Cap	11001.2	Fora Ponta Cap	11888.8	Fora Ponta Cap	10502.8	Fora Ponta Cap		
04:00	10908.8	Fora Ponta Cap	11785.2	Fora Ponta Cap	10253.6	Fora Ponta Cap	10900.4	Fora Ponta Cap	12927.6	Fora Ponta Cap	0.0	Ponta	9212.0	Fora Ponta Cap	8934.8	Fora Ponta Cap	7800.8	Fora Ponta Cap	9881.2	Fora Ponta Cap		
05:00	12616.8	Fora Ponta Cap	9531.2	Fora Ponta Cap	11547.2	Fora Ponta Cap	10878.0	Fora Ponta Cap	12838.0	Fora Ponta Cap	25.2	Fora Ponta Cap	10931.2	Fora Ponta Cap	8663.2	Fora Ponta Cap	12023.2	Fora Ponta Cap	9105.6	Fora Ponta Cap		
06:00	9749.6	Fora Ponta Cap	7196.0	Fora Ponta Cap	10329.2	Fora Ponta Cap	12283.6	Fora Ponta Cap	11239.2	Fora Ponta Cap	2352.0	Fora Ponta Cap	7204.4	Fora Ponta Cap	8780.8	Fora Ponta Cap	10740.8	Fora Ponta Cap	10553.2	Fora Ponta Cap		
07:00	12065.2	Fora Ponta Ind	7831.6	Fora Ponta Ind	11732.0	Fora Ponta Ind	12790.4	Fora Ponta Ind	11547.2	Fora Ponta Ind	3925.6	Fora Ponta Ind	11460.4	Fora Ponta Ind	10936.8	Fora Ponta Ind	11628.4	Fora Ponta Ind	12880.0	Fora Ponta Ind		
08:00	14207.2	Fora Ponta Ind	9612.4	Fora Ponta Ind	8929.2	Fora Ponta Ind	13538.0	Fora Ponta Ind	11726.4	Fora Ponta Ind	5457.2	Fora Ponta Ind	9287.6	Fora Ponta Ind	11981.2	Fora Ponta Ind	13353.2	Fora Ponta Ind	9399.6	Fora Ponta Ind		
09:00	13428.8	Fora Ponta Ind	12378.8	Fora Ponta Ind	10637.2	Fora Ponta Ind	12471.2	Fora Ponta Ind	10396.4	Fora Ponta Ind	6596.8	Fora Ponta Ind	12432.0	Fora Ponta Ind	12706.4	Fora Ponta Ind	11743.2	Fora Ponta Ind	12076.4	Fora Ponta Ind		
