Relatorio de Energia Eletrica	
Equipamento: 	SMART BASE 1	
Medição: 	[6] FUNDIÇÃO 2	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	51212.8	
Acumulado Fora Ponta Ind	443759.3	
Acumulado Fora Ponta Cap	183004.5	
Acumulado Fora Ponta (Ind+Cap)	626763.8	
Acumulado Total	677976.5	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:00	2702.5	Fora Ponta Cap	1342.3	Fora Ponta Cap	3960.0	Fora Ponta Cap	1959.8	Fora Ponta Cap	2012.8	Fora Ponta Cap	584.8	Fora Ponta Cap	2446.5	Fora Ponta Cap	3476.5	Fora Ponta Cap	3831.0	Fora Ponta Cap	2835.3	Fora Ponta Cap		
02:00	2465.5	Fora Ponta Cap	3310.8	Fora Ponta Cap	2595.3	Fora Ponta Cap	2339.0	Fora Ponta Cap	4753.0	Fora Ponta Cap	583.8	Fora Ponta Cap	4931.8	Fora Ponta Cap	4216.5	Fora Ponta Cap	3758.8	Fora Ponta Cap	2829.0	Fora Ponta Cap		
03:00	2686.8	Fora Ponta Cap	2424.0	Fora Ponta Cap	1852.5	Fora Ponta Cap	4516.8	Fora Ponta Cap	4367.3	Fora Ponta Cap	584.0	Fora Ponta Cap	3959.0	Fora Ponta Cap	4875.3	Fora Ponta Cap	2360.3	Fora Ponta Cap	3891.5	Fora Ponta Cap		
04:00	3451.3	Fora Ponta Cap	2759.8	Fora Ponta Cap	2446.5	Fora Ponta Cap	2103.5	Fora Ponta Cap	5252.0	Fora Ponta Cap	0.0	Ponta	3345.3	Fora Ponta Cap	3991.3	Fora Ponta Cap	1368.5	Fora Ponta Cap	4694.3	Fora Ponta Cap		
05:00	2924.3	Fora Ponta Cap	4168.8	Fora Ponta Cap	4416.5	Fora Ponta Cap	2871.0	Fora Ponta Cap	4532.3	Fora Ponta Cap	28.8	Fora Ponta Cap	6148.0	Fora Ponta Cap	2421.8	Fora Ponta Cap	3923.5	Fora Ponta Cap	2833.8	Fora Ponta Cap		
06:00	1913.5	Fora Ponta Cap	2502.8	Fora Ponta Cap	3590.3	Fora Ponta Cap	4232.3	Fora Ponta Cap	3569.5	Fora Ponta Cap	459.0	Fora Ponta Cap	3031.8	Fora Ponta Cap	4613.3	Fora Ponta Cap	3097.0	Fora Ponta Cap	3862.8	Fora Ponta Cap		
07:00	3933.0	Fora Ponta Ind	3476.3	Fora Ponta Ind	3410.0	Fora Ponta Ind	3432.8	Fora Ponta Ind	3792.5	Fora Ponta Ind	1490.3	Fora Ponta Ind	5667.3	Fora Ponta Ind	5577.8	Fora Ponta Ind	4344.0	Fora Ponta Ind	4953.0	Fora Ponta Ind		
08:00	3978.3	Fora Ponta Ind	4002.3	Fora Ponta Ind	872.5	Fora Ponta Ind	4567.3	Fora Ponta Ind	3647.3	Fora Ponta Ind	1813.0	Fora Ponta Ind	5161.8	Fora Ponta Ind	6112.0	Fora Ponta Ind	3639.3	Fora Ponta Ind	901.5	Fora Ponta Ind		
09:00	3954.8	Fora Ponta Ind	2410.3	Fora Ponta Ind	1926.0	Fora Ponta Ind	4102.8	Fora Ponta Ind	2356.3	Fora Ponta Ind	1848.3	Fora Ponta Ind	4598.3	Fora Ponta Ind	7160.5	Fora Ponta Ind	3785.0	Fora Ponta Ind	2126.3	Fora Ponta Ind		
10:00	1696.5	Fora Ponta Ind	1068.0	Fora Ponta Ind	3777.5	Fora Ponta Ind	2203.8	Fora Ponta Ind	1391.8	Fora Ponta Ind	1862.5	Fora Ponta Ind	3107.5	Fora Ponta Ind	3430.5	Fora Ponta Ind	3221.0	Fora Ponta Ind	3340.8	Fora Ponta Ind		
11:00	1742.3	Fora Ponta Ind	1621.5	Fora Ponta Ind	2038.8	Fora Ponta Ind	1302.3	Fora Ponta Ind	1154.8	Fora Ponta Ind	2549.0	Fora Ponta Ind	3081.5	Fora Ponta Ind	3604.3	Fora Ponta Ind	2082.0	Fora Ponta Ind	3781.0	Fora Ponta Ind		
12:00	3929.5	Fora Ponta Ind	3906.0	Fora Ponta Ind	1907.3	Fora Ponta Ind	3772.5	Fora Ponta Ind	2797.5	Fora Ponta Ind	1869.3	Fora Ponta Ind	2896.3	Fora Ponta Ind	4959.8	Fora Ponta Ind	3663.5	Fora Ponta Ind	3269.0	Fora Ponta Ind		
