Relatorio de Energia Eletrica	
Equipamento: 	SMART BASE 1	
Medição: 	[8] FORÇA ELETRO MOTRIZ FUND. 1	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	24719.3	
Acumulado Fora Ponta Ind	166214.2	
Acumulado Fora Ponta Cap	63907.1	
Acumulado Fora Ponta (Ind+Cap)	230121.3	
Acumulado Total	254840.6	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo	Consumo(kWh)	Periodo		
01:00	1358.5	Fora Ponta Cap	1052.9	Fora Ponta Cap	1035.6	Fora Ponta Cap	1131.6	Fora Ponta Cap	1161.8	Fora Ponta Cap	242.3	Fora Ponta Cap	1089.5	Fora Ponta Cap	1170.1	Fora Ponta Cap	1039.6	Fora Ponta Cap	1196.0	Fora Ponta Cap		
02:00	1381.3	Fora Ponta Cap	1087.0	Fora Ponta Cap	1033.1	Fora Ponta Cap	1134.5	Fora Ponta Cap	1148.7	Fora Ponta Cap	251.1	Fora Ponta Cap	1081.3	Fora Ponta Cap	1089.4	Fora Ponta Cap	1141.8	Fora Ponta Cap	1213.2	Fora Ponta Cap		
03:00	1394.2	Fora Ponta Cap	1207.9	Fora Ponta Cap	1126.7	Fora Ponta Cap	1116.5	Fora Ponta Cap	1082.4	Fora Ponta Cap	239.0	Fora Ponta Cap	1076.6	Fora Ponta Cap	1122.6	Fora Ponta Cap	1151.5	Fora Ponta Cap	1163.1	Fora Ponta Cap		
04:00	1394.5	Fora Ponta Cap	1217.1	Fora Ponta Cap	1178.7	Fora Ponta Cap	1203.6	Fora Ponta Cap	1180.5	Fora Ponta Cap	0.0	Ponta	1055.0	Fora Ponta Cap	1092.1	Fora Ponta Cap	1163.7	Fora Ponta Cap	1179.1	Fora Ponta Cap		
05:00	1369.8	Fora Ponta Cap	1169.9	Fora Ponta Cap	1191.8	Fora Ponta Cap	1190.9	Fora Ponta Cap	1141.7	Fora Ponta Cap	15.5	Fora Ponta Cap	1072.1	Fora Ponta Cap	1125.2	Fora Ponta Cap	1204.1	Fora Ponta Cap	1157.5	Fora Ponta Cap		
06:00	1443.6	Fora Ponta Cap	1072.8	Fora Ponta Cap	1207.0	Fora Ponta Cap	1197.5	Fora Ponta Cap	1142.0	Fora Ponta Cap	354.4	Fora Ponta Cap	1083.3	Fora Ponta Cap	1131.7	Fora Ponta Cap	1151.2	Fora Ponta Cap	1101.0	Fora Ponta Cap		
07:00	1442.6	Fora Ponta Ind	1076.0	Fora Ponta Ind	1249.5	Fora Ponta Ind	1249.8	Fora Ponta Ind	1170.0	Fora Ponta Ind	745.5	Fora Ponta Ind	1102.2	Fora Ponta Ind	1121.1	Fora Ponta Ind	1149.5	Fora Ponta Ind	1168.3	Fora Ponta Ind		
08:00	1485.2	Fora Ponta Ind	1173.6	Fora Ponta Ind	1194.9	Fora Ponta Ind	1094.4	Fora Ponta Ind	1129.5	Fora Ponta Ind	930.1	Fora Ponta Ind	1171.9	Fora Ponta Ind	1091.0	Fora Ponta Ind	1165.6	Fora Ponta Ind	1108.6	Fora Ponta Ind		
09:00	1432.4	Fora Ponta Ind	1193.1	Fora Ponta Ind	1243.3	Fora Ponta Ind	1128.5	Fora Ponta Ind	1113.7	Fora Ponta Ind	934.3	Fora Ponta Ind	1207.6	Fora Ponta Ind	1175.1	Fora Ponta Ind	1210.8	Fora Ponta Ind	1161.2	Fora Ponta Ind		
