Relatorio de Energia Eletrica	
Equipamento: 	GATE_A	
Medição: 	[1] SE PIT-MBU III-TRAFO 1	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	13811.0	
Acumulado Fora Ponta Ind	78808.0	
Acumulado Fora Ponta Cap	14804.0	
Acumulado Fora Ponta (Ind+Cap)	93612.0	
Acumulado Total	107423.0	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:00	449.5	Fora Ponta Ind	462.5	Fora Ponta Ind	502.3	Fora Ponta Ind	483.3	Fora Ponta Ind	493.3	Fora Ponta Ind	0.0	Fora Ponta Ind	405.8	Fora Ponta Ind	487.5	Fora Ponta Ind	559.0	Fora Ponta Ind	483.3	Fora Ponta Ind		
01:00	56.3	Fora Ponta Cap	155.3	Fora Ponta Cap	110.8	Fora Ponta Cap	37.5	Fora Ponta Cap	65.5	Fora Ponta Cap	0.0	Fora Ponta Cap	390.3	Fora Ponta Cap	466.0	Fora Ponta Cap	484.5	Fora Ponta Cap	471.5	Fora Ponta Cap		
02:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	400.0	Fora Ponta Cap	464.5	Fora Ponta Cap	470.3	Fora Ponta Cap	467.0	Fora Ponta Cap		
03:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	394.3	Fora Ponta Cap	468.0	Fora Ponta Cap	463.3	Fora Ponta Cap	455.0	Fora Ponta Cap		
04:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Ponta	388.0	Fora Ponta Cap	460.8	Fora Ponta Cap	455.3	Fora Ponta Cap	453.3	Fora Ponta Cap		
05:00	134.5	Fora Ponta Cap	205.0	Fora Ponta Cap	69.5	Fora Ponta Cap	162.0	Fora Ponta Cap	143.5	Fora Ponta Cap	0.0	Ponta	389.3	Fora Ponta Cap	461.0	Fora Ponta Cap	445.0	Fora Ponta Cap	440.0	Fora Ponta Cap		
06:00	517.8	Fora Ponta Cap	540.5	Fora Ponta Cap	497.3	Fora Ponta Cap	510.8	Fora Ponta Cap	529.0	Fora Ponta Cap	120.0	Fora Ponta Cap	488.5	Fora Ponta Cap	526.5	Fora Ponta Cap	489.0	Fora Ponta Cap	558.0	Fora Ponta Cap		
07:00	566.5	Fora Ponta Ind	576.3	Fora Ponta Ind	564.5	Fora Ponta Ind	560.3	Fora Ponta Ind	572.8	Fora Ponta Ind	441.5	Fora Ponta Ind	588.5	Fora Ponta Ind	508.8	Fora Ponta Ind	531.5	Fora Ponta Ind	599.5	Fora Ponta Ind		
08:00	579.0	Fora Ponta Ind	569.0	Fora Ponta Ind	566.8	Fora Ponta Ind	554.0	Fora Ponta Ind	576.0	Fora Ponta Ind	460.3	Fora Ponta Ind	561.3	Fora Ponta Ind	528.3	Fora Ponta Ind	536.3	Fora Ponta Ind	590.5	Fora Ponta Ind		
