Relatorio de Energia Eletrica	
Equipamento: 	GATE_A	
Medição: 	[2] SE-COMPRESSORES-COOPER 2	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	14666.3	
Acumulado Fora Ponta Ind	76263.0	
Acumulado Fora Ponta Cap	5689.8	
Acumulado Fora Ponta (Ind+Cap)	81952.8	
Acumulado Total	96619.0	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:00	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Ponta	0.0	Fora Ponta Ind	0.0	Sem Registro	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind		
01:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
02:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
03:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
04:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Fora Ponta Cap	0.0	Ponta	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
05:00	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Fora Ponta Cap	0.0	Ponta	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
06:00	782.8	Fora Ponta Cap	718.0	Fora Ponta Cap	716.8	Fora Ponta Cap	0.0	Sem Registro	772.3	Fora Ponta Cap	0.0	Fora Ponta Cap	653.3	Fora Ponta Cap	673.3	Fora Ponta Cap	738.5	Fora Ponta Cap	635.0	Fora Ponta Cap		
07:00	838.5	Fora Ponta Ind	827.3	Fora Ponta Ind	823.0	Fora Ponta Ind	0.0	Sem Registro	821.8	Fora Ponta Ind	0.0	Fora Ponta Ind	829.0	Fora Ponta Ind	839.3	Fora Ponta Ind	833.8	Fora Ponta Ind	843.3	Fora Ponta Ind		
08:00	832.0	Fora Ponta Ind	823.5	Fora Ponta Ind	818.8	Fora Ponta Ind	0.0	Sem Registro	820.3	Fora Ponta Ind	120.0	Fora Ponta Ind	831.8	Fora Ponta Ind	837.0	Fora Ponta Ind	830.0	Fora Ponta Ind	837.0	Fora Ponta Ind		
