Relatorio de Energia Eletrica	
Equipamento: 	GATE_A	
Medição: 	[8] SE1-MBU III-TRAFO1 (USIN)	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	8191.5	
Acumulado Fora Ponta Ind	40895.5	
Acumulado Fora Ponta Cap	7828.3	
Acumulado Fora Ponta (Ind+Cap)	48723.8	
Acumulado Total	56915.3	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:00	165.8	Fora Ponta Ind	146.3	Fora Ponta Ind	174.5	Fora Ponta Ind	207.5	Fora Ponta Ind	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	176.0	Fora Ponta Ind	213.8	Fora Ponta Ind	212.3	Fora Ponta Ind		
01:00	94.8	Fora Ponta Cap	105.5	Fora Ponta Cap	105.3	Fora Ponta Cap	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	102.8	Fora Ponta Cap	136.8	Fora Ponta Cap	139.8	Fora Ponta Cap	146.3	Fora Ponta Cap		
02:00	89.5	Fora Ponta Cap	93.3	Fora Ponta Cap	96.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	104.0	Fora Ponta Cap	117.0	Fora Ponta Cap	130.5	Fora Ponta Cap	142.3	Fora Ponta Cap		
03:00	92.3	Fora Ponta Cap	94.0	Fora Ponta Cap	97.3	Fora Ponta Cap	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	103.3	Fora Ponta Cap	115.5	Fora Ponta Cap	126.8	Fora Ponta Cap	142.3	Fora Ponta Cap		
04:00	114.0	Fora Ponta Cap	105.5	Fora Ponta Cap	102.5	Fora Ponta Cap	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	174.8	Fora Ponta Cap	139.8	Fora Ponta Cap	141.5	Fora Ponta Cap	164.5	Fora Ponta Cap		
05:00	200.0	Fora Ponta Cap	193.3	Fora Ponta Cap	196.0	Fora Ponta Cap	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	230.0	Fora Ponta Cap	229.0	Fora Ponta Cap	236.5	Fora Ponta Cap	244.5	Fora Ponta Cap		
06:00	414.5	Fora Ponta Cap	467.3	Fora Ponta Cap	420.3	Fora Ponta Cap	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	416.5	Fora Ponta Cap	411.0	Fora Ponta Cap	397.5	Fora Ponta Cap	454.8	Fora Ponta Cap		
07:00	420.5	Fora Ponta Ind	530.5	Fora Ponta Ind	449.8	Fora Ponta Ind	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	454.0	Fora Ponta Ind	414.8	Fora Ponta Ind	418.0	Fora Ponta Ind	467.3	Fora Ponta Ind		
08:00	438.8	Fora Ponta Ind	513.5	Fora Ponta Ind	480.8	Fora Ponta Ind	0.0	Sem Registro	0.0	Sem Registro	0.0	Sem Registro	448.3	Fora Ponta Ind	443.0	Fora Ponta Ind	443.3	Fora Ponta Ind	474.3	Fora Ponta Ind		
