Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[3] AR COMPRIMIDO	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	33733.8	
Acumulado Fora Ponta Ind	255572.0	
Acumulado Fora Ponta Cap	61484.0	
Acumulado Fora Ponta (Ind+Cap)	317056.0	
Acumulado Total	350789.8	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:30	424.3	Fora Ponta Cap	554.8	Fora Ponta Cap	571.3	Fora Ponta Cap	570.0	Fora Ponta Cap	732.3	Fora Ponta Cap	0.0	Fora Ponta Cap	1821.0	Fora Ponta Cap	1491.0	Fora Ponta Cap	1234.5	Fora Ponta Cap	848.5	Fora Ponta Cap		
01:30	0.0	Fora Ponta Cap	357.8	Fora Ponta Cap	435.8	Fora Ponta Cap	629.0	Fora Ponta Cap	453.8	Fora Ponta Cap	0.0	Fora Ponta Cap	1841.3	Fora Ponta Cap	1297.5	Fora Ponta Cap	1276.5	Fora Ponta Cap	620.8	Fora Ponta Cap		
02:30	0.0	Fora Ponta Cap	356.3	Fora Ponta Cap	427.0	Fora Ponta Cap	646.8	Fora Ponta Cap	448.0	Fora Ponta Cap	0.0	Fora Ponta Cap	1831.5	Fora Ponta Cap	1293.0	Fora Ponta Cap	1236.0	Fora Ponta Cap	620.5	Fora Ponta Cap		
03:30	0.0	Fora Ponta Cap	357.3	Fora Ponta Cap	432.3	Fora Ponta Cap	689.0	Fora Ponta Cap	477.3	Fora Ponta Cap	0.0	Ponta	2186.3	Fora Ponta Cap	1364.0	Fora Ponta Cap	1252.5	Fora Ponta Cap	645.8	Fora Ponta Cap		
04:30	670.8	Fora Ponta Cap	758.3	Fora Ponta Cap	532.0	Fora Ponta Cap	868.8	Fora Ponta Cap	671.8	Fora Ponta Cap	0.0	Ponta	2950.5	Fora Ponta Cap	1818.0	Fora Ponta Cap	1500.0	Fora Ponta Cap	780.0	Fora Ponta Cap		
05:30	1123.5	Fora Ponta Cap	1183.3	Fora Ponta Cap	1152.8	Fora Ponta Cap	938.8	Fora Ponta Cap	1184.5	Fora Ponta Cap	0.0	Fora Ponta Cap	3543.8	Fora Ponta Cap	2455.5	Fora Ponta Cap	2306.0	Fora Ponta Cap	1070.0	Fora Ponta Cap		
06:30	1768.3	Fora Ponta Ind	1704.5	Fora Ponta Ind	1834.5	Fora Ponta Ind	955.0	Fora Ponta Ind	1774.5	Fora Ponta Ind	686.3	Fora Ponta Ind	5191.5	Fora Ponta Ind	3531.0	Fora Ponta Ind	3518.5	Fora Ponta Ind	1774.3	Fora Ponta Ind		
07:30	1710.3	Fora Ponta Ind	1691.0	Fora Ponta Ind	1686.0	Fora Ponta Ind	990.0	Fora Ponta Ind	1789.3	Fora Ponta Ind	796.5	Fora Ponta Ind	5328.0	Fora Ponta Ind	3434.0	Fora Ponta Ind	3465.5	Fora Ponta Ind	1738.5	Fora Ponta Ind		
08:30	1698.5	Fora Ponta Ind	1694.8	Fora Ponta Ind	1666.3	Fora Ponta Ind	1008.5	Fora Ponta Ind	1761.0	Fora Ponta Ind	766.8	Fora Ponta Ind	5289.8	Fora Ponta Ind	3404.5	Fora Ponta Ind	3433.5	Fora Ponta Ind	1701.3	Fora Ponta Ind		
