Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[4] USINAGEM MBU_III	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	38660.0	
Acumulado Fora Ponta Ind	219585.3	
Acumulado Fora Ponta Cap	38888.8	
Acumulado Fora Ponta (Ind+Cap)	258474.0	
Acumulado Total	297134.0	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:30	611.5	Fora Ponta Cap	736.3	Fora Ponta Cap	590.8	Fora Ponta Cap	648.0	Fora Ponta Cap	577.0	Fora Ponta Cap	108.5	Fora Ponta Cap	590.8	Fora Ponta Cap	894.0	Fora Ponta Cap	960.3	Fora Ponta Cap	890.0	Fora Ponta Cap		
01:30	240.0	Fora Ponta Cap	266.0	Fora Ponta Cap	148.3	Fora Ponta Cap	148.5	Fora Ponta Cap	158.3	Fora Ponta Cap	110.8	Fora Ponta Cap	631.0	Fora Ponta Cap	768.5	Fora Ponta Cap	792.3	Fora Ponta Cap	812.3	Fora Ponta Cap		
02:30	247.0	Fora Ponta Cap	254.8	Fora Ponta Cap	150.5	Fora Ponta Cap	141.3	Fora Ponta Cap	159.8	Fora Ponta Cap	108.8	Fora Ponta Cap	634.8	Fora Ponta Cap	770.3	Fora Ponta Cap	788.0	Fora Ponta Cap	790.5	Fora Ponta Cap		
03:30	231.8	Fora Ponta Cap	248.3	Fora Ponta Cap	150.3	Fora Ponta Cap	145.0	Fora Ponta Cap	155.8	Fora Ponta Cap	52.5	Ponta	655.5	Fora Ponta Cap	755.0	Fora Ponta Cap	768.8	Fora Ponta Cap	778.3	Fora Ponta Cap		
04:30	375.5	Fora Ponta Cap	350.8	Fora Ponta Cap	200.0	Fora Ponta Cap	189.0	Fora Ponta Cap	195.5	Fora Ponta Cap	0.0	Ponta	857.3	Fora Ponta Cap	899.5	Fora Ponta Cap	886.8	Fora Ponta Cap	921.0	Fora Ponta Cap		
05:30	1241.5	Fora Ponta Cap	1289.3	Fora Ponta Cap	772.3	Fora Ponta Cap	931.0	Fora Ponta Cap	984.5	Fora Ponta Cap	39.5	Fora Ponta Cap	1239.3	Fora Ponta Cap	1402.5	Fora Ponta Cap	1362.5	Fora Ponta Cap	1253.5	Fora Ponta Cap		
06:30	2026.3	Fora Ponta Ind	2018.0	Fora Ponta Ind	1570.0	Fora Ponta Ind	1592.0	Fora Ponta Ind	1639.8	Fora Ponta Ind	980.8	Fora Ponta Ind	1950.5	Fora Ponta Ind	1794.3	Fora Ponta Ind	1888.0	Fora Ponta Ind	2135.3	Fora Ponta Ind		
07:30	2017.0	Fora Ponta Ind	1990.3	Fora Ponta Ind	1599.0	Fora Ponta Ind	1554.0	Fora Ponta Ind	1647.3	Fora Ponta Ind	1038.5	Fora Ponta Ind	2112.8	Fora Ponta Ind	1812.5	Fora Ponta Ind	1774.0	Fora Ponta Ind	1992.0	Fora Ponta Ind		
08:30	2137.8	Fora Ponta Ind	2114.0	Fora Ponta Ind	1477.8	Fora Ponta Ind	1672.5	Fora Ponta Ind	1516.0	Fora Ponta Ind	1077.8	Fora Ponta Ind	1958.0	Fora Ponta Ind	1942.3	Fora Ponta Ind	1749.0	Fora Ponta Ind	1940.8	Fora Ponta Ind		
09:30	1917.0	Fora Ponta Ind	1919.5	Fora Ponta Ind	1567.8	Fora Ponta Ind	1655.5	Fora Ponta Ind	1440.0	Fora Ponta Ind	1113.3	Fora Ponta Ind	2049.5	Fora Ponta Ind	1977.5	Fora Ponta Ind	1933.8	Fora Ponta Ind	2067.0	Fora Ponta Ind		
10:30	1957.8	Fora Ponta Ind	1879.3	Fora Ponta Ind	1676.8	Fora Ponta Ind	1539.0	Fora Ponta Ind	1318.5	Fora Ponta Ind	1058.8	Fora Ponta Ind	1928.8	Fora Ponta Ind	1865.0	Fora Ponta Ind	1936.8	Fora Ponta Ind	1896.8	Fora Ponta Ind		
11:30	1798.8	Fora Ponta Ind	1629.0	Fora Ponta Ind	1736.5	Fora Ponta Ind	1432.5	Fora Ponta Ind	1283.3	Fora Ponta Ind	982.5	Fora Ponta Ind	1759.8	Fora Ponta Ind	1656.3	Fora Ponta Ind	1738.5	Fora Ponta Ind	1630.8	Fora Ponta Ind		
