Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[5] MONTAGEM MBU_III	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	9605.8	
Acumulado Fora Ponta Ind	65006.0	
Acumulado Fora Ponta Cap	13183.3	
Acumulado Fora Ponta (Ind+Cap)	78189.3	
Acumulado Total	87795.0	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:30	201.8	Fora Ponta Cap	147.5	Fora Ponta Cap	143.0	Fora Ponta Cap	153.5	Fora Ponta Cap	160.5	Fora Ponta Cap	119.5	Fora Ponta Cap	137.0	Fora Ponta Cap	170.3	Fora Ponta Cap	150.0	Fora Ponta Cap	153.0	Fora Ponta Cap		
01:30	138.0	Fora Ponta Cap	147.5	Fora Ponta Cap	136.8	Fora Ponta Cap	141.3	Fora Ponta Cap	144.3	Fora Ponta Cap	122.0	Fora Ponta Cap	138.0	Fora Ponta Cap	143.8	Fora Ponta Cap	153.5	Fora Ponta Cap	136.8	Fora Ponta Cap		
02:30	150.3	Fora Ponta Cap	136.3	Fora Ponta Cap	150.5	Fora Ponta Cap	147.5	Fora Ponta Cap	158.3	Fora Ponta Cap	112.3	Fora Ponta Cap	125.3	Fora Ponta Cap	131.5	Fora Ponta Cap	135.5	Fora Ponta Cap	161.5	Fora Ponta Cap		
03:30	134.5	Fora Ponta Cap	137.5	Fora Ponta Cap	144.8	Fora Ponta Cap	156.0	Fora Ponta Cap	145.0	Fora Ponta Cap	55.0	Ponta	158.0	Fora Ponta Cap	120.0	Fora Ponta Cap	122.8	Fora Ponta Cap	147.0	Fora Ponta Cap		
04:30	212.5	Fora Ponta Cap	209.5	Fora Ponta Cap	192.3	Fora Ponta Cap	182.8	Fora Ponta Cap	197.3	Fora Ponta Cap	0.0	Ponta	283.3	Fora Ponta Cap	213.3	Fora Ponta Cap	208.3	Fora Ponta Cap	188.3	Fora Ponta Cap		
05:30	434.5	Fora Ponta Cap	398.8	Fora Ponta Cap	438.8	Fora Ponta Cap	387.5	Fora Ponta Cap	443.5	Fora Ponta Cap	17.3	Fora Ponta Cap	431.8	Fora Ponta Cap	402.0	Fora Ponta Cap	405.5	Fora Ponta Cap	418.5	Fora Ponta Cap		
06:30	609.5	Fora Ponta Ind	589.5	Fora Ponta Ind	613.8	Fora Ponta Ind	587.3	Fora Ponta Ind	611.0	Fora Ponta Ind	122.0	Fora Ponta Ind	562.8	Fora Ponta Ind	527.8	Fora Ponta Ind	540.5	Fora Ponta Ind	536.0	Fora Ponta Ind		
07:30	561.0	Fora Ponta Ind	543.8	Fora Ponta Ind	581.3	Fora Ponta Ind	628.8	Fora Ponta Ind	582.3	Fora Ponta Ind	120.5	Fora Ponta Ind	572.0	Fora Ponta Ind	566.8	Fora Ponta Ind	568.0	Fora Ponta Ind	485.3	Fora Ponta Ind		
08:30	561.5	Fora Ponta Ind	542.0	Fora Ponta Ind	505.0	Fora Ponta Ind	595.3	Fora Ponta Ind	513.8	Fora Ponta Ind	124.5	Fora Ponta Ind	580.5	Fora Ponta Ind	552.5	Fora Ponta Ind	553.8	Fora Ponta Ind	477.3	Fora Ponta Ind		
