Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[7] PIT VELHO	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	13303.5	
Acumulado Fora Ponta Ind	79351.5	
Acumulado Fora Ponta Cap	8948.3	
Acumulado Fora Ponta (Ind+Cap)	88299.8	
Acumulado Total	101603.3	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:30	50.3	Fora Ponta Cap	155.8	Fora Ponta Cap	151.8	Fora Ponta Cap	239.0	Fora Ponta Cap	240.8	Fora Ponta Cap	21.0	Fora Ponta Cap	22.5	Fora Ponta Cap	263.3	Fora Ponta Cap	302.5	Fora Ponta Cap	270.5	Fora Ponta Cap		
01:30	21.3	Fora Ponta Cap	24.5	Fora Ponta Cap	19.5	Fora Ponta Cap	25.0	Fora Ponta Cap	25.8	Fora Ponta Cap	21.0	Fora Ponta Cap	19.8	Fora Ponta Cap	24.3	Fora Ponta Cap	20.5	Fora Ponta Cap	32.8	Fora Ponta Cap		
02:30	24.8	Fora Ponta Cap	19.0	Fora Ponta Cap	21.3	Fora Ponta Cap	19.5	Fora Ponta Cap	20.8	Fora Ponta Cap	21.3	Fora Ponta Cap	19.3	Fora Ponta Cap	28.0	Fora Ponta Cap	25.5	Fora Ponta Cap	32.5	Fora Ponta Cap		
03:30	19.3	Fora Ponta Cap	19.0	Fora Ponta Cap	25.0	Fora Ponta Cap	19.3	Fora Ponta Cap	20.0	Fora Ponta Cap	12.0	Ponta	24.5	Fora Ponta Cap	28.0	Fora Ponta Cap	24.5	Fora Ponta Cap	36.5	Fora Ponta Cap		
04:30	95.5	Fora Ponta Cap	143.3	Fora Ponta Cap	20.0	Fora Ponta Cap	98.5	Fora Ponta Cap	19.5	Fora Ponta Cap	0.0	Ponta	309.3	Fora Ponta Cap	100.0	Fora Ponta Cap	19.8	Fora Ponta Cap	173.5	Fora Ponta Cap		
05:30	461.0	Fora Ponta Cap	509.0	Fora Ponta Cap	531.5	Fora Ponta Cap	497.3	Fora Ponta Cap	408.5	Fora Ponta Cap	4.0	Fora Ponta Cap	511.0	Fora Ponta Cap	510.0	Fora Ponta Cap	470.5	Fora Ponta Cap	493.5	Fora Ponta Cap		
06:30	565.0	Fora Ponta Ind	561.5	Fora Ponta Ind	563.8	Fora Ponta Ind	586.0	Fora Ponta Ind	589.8	Fora Ponta Ind	320.0	Fora Ponta Ind	588.8	Fora Ponta Ind	560.0	Fora Ponta Ind	550.0	Fora Ponta Ind	539.8	Fora Ponta Ind		
07:30	549.8	Fora Ponta Ind	558.8	Fora Ponta Ind	566.0	Fora Ponta Ind	578.8	Fora Ponta Ind	574.3	Fora Ponta Ind	502.8	Fora Ponta Ind	600.8	Fora Ponta Ind	540.5	Fora Ponta Ind	547.0	Fora Ponta Ind	547.0	Fora Ponta Ind		
08:30	553.8	Fora Ponta Ind	555.0	Fora Ponta Ind	571.3	Fora Ponta Ind	587.3	Fora Ponta Ind	574.8	Fora Ponta Ind	531.8	Fora Ponta Ind	594.0	Fora Ponta Ind	536.3	Fora Ponta Ind	543.8	Fora Ponta Ind	556.5	Fora Ponta Ind		
