Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[8] MBU V 6 TRAFOS	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	17860.8	
Acumulado Fora Ponta Ind	115295.0	
Acumulado Fora Ponta Cap	20542.8	
Acumulado Fora Ponta (Ind+Cap)	135837.8	
Acumulado Total	153698.5	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:30	231.3	Fora Ponta Cap	312.8	Fora Ponta Cap	561.0	Fora Ponta Cap	338.0	Fora Ponta Cap	322.5	Fora Ponta Cap	126.5	Fora Ponta Cap	189.8	Fora Ponta Cap	296.3	Fora Ponta Cap	310.0	Fora Ponta Cap	312.5	Fora Ponta Cap		
01:30	165.3	Fora Ponta Cap	206.5	Fora Ponta Cap	469.0	Fora Ponta Cap	239.8	Fora Ponta Cap	237.3	Fora Ponta Cap	125.5	Fora Ponta Cap	186.8	Fora Ponta Cap	213.0	Fora Ponta Cap	195.0	Fora Ponta Cap	192.5	Fora Ponta Cap		
02:30	161.3	Fora Ponta Cap	204.8	Fora Ponta Cap	404.0	Fora Ponta Cap	236.5	Fora Ponta Cap	235.3	Fora Ponta Cap	126.0	Fora Ponta Cap	186.5	Fora Ponta Cap	210.0	Fora Ponta Cap	189.0	Fora Ponta Cap	189.5	Fora Ponta Cap		
03:30	163.0	Fora Ponta Cap	203.3	Fora Ponta Cap	400.0	Fora Ponta Cap	257.0	Fora Ponta Cap	233.8	Fora Ponta Cap	62.3	Ponta	224.0	Fora Ponta Cap	221.3	Fora Ponta Cap	190.5	Fora Ponta Cap	193.3	Fora Ponta Cap		
04:30	258.8	Fora Ponta Cap	267.0	Fora Ponta Cap	482.5	Fora Ponta Cap	285.0	Fora Ponta Cap	276.3	Fora Ponta Cap	0.0	Ponta	333.0	Fora Ponta Cap	321.3	Fora Ponta Cap	243.5	Fora Ponta Cap	257.5	Fora Ponta Cap		
05:30	533.8	Fora Ponta Cap	521.3	Fora Ponta Cap	1025.0	Fora Ponta Cap	536.0	Fora Ponta Cap	529.3	Fora Ponta Cap	32.8	Fora Ponta Cap	551.0	Fora Ponta Cap	545.3	Fora Ponta Cap	499.5	Fora Ponta Cap	521.5	Fora Ponta Cap		
06:30	911.0	Fora Ponta Ind	907.5	Fora Ponta Ind	1887.5	Fora Ponta Ind	965.5	Fora Ponta Ind	964.8	Fora Ponta Ind	565.3	Fora Ponta Ind	876.0	Fora Ponta Ind	907.8	Fora Ponta Ind	902.3	Fora Ponta Ind	932.0	Fora Ponta Ind		
07:30	931.8	Fora Ponta Ind	910.3	Fora Ponta Ind	1932.5	Fora Ponta Ind	991.3	Fora Ponta Ind	968.5	Fora Ponta Ind	640.3	Fora Ponta Ind	885.3	Fora Ponta Ind	940.5	Fora Ponta Ind	929.5	Fora Ponta Ind	991.3	Fora Ponta Ind		
08:30	889.5	Fora Ponta Ind	905.3	Fora Ponta Ind	1915.5	Fora Ponta Ind	969.5	Fora Ponta Ind	916.3	Fora Ponta Ind	628.0	Fora Ponta Ind	875.3	Fora Ponta Ind	909.3	Fora Ponta Ind	929.8	Fora Ponta Ind	951.3	Fora Ponta Ind		
