Relatorio de Energia Eletrica	
Equipamento: 	Medições Virtuais	
Medição: 	[9] NOVA USIN MBU III	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	24849.0	
Acumulado Fora Ponta Ind	140735.3	
Acumulado Fora Ponta Cap	24084.8	
Acumulado Fora Ponta (Ind+Cap)	164820.0	
Acumulado Total	189669.0	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:30	330.8	Fora Ponta Cap	350.3	Fora Ponta Cap	228.5	Fora Ponta Cap	369.0	Fora Ponta Cap	265.5	Fora Ponta Cap	108.5	Fora Ponta Cap	189.3	Fora Ponta Cap	424.3	Fora Ponta Cap	447.0	Fora Ponta Cap	413.3	Fora Ponta Cap		
01:30	240.0	Fora Ponta Cap	266.0	Fora Ponta Cap	148.3	Fora Ponta Cap	148.5	Fora Ponta Cap	158.3	Fora Ponta Cap	110.8	Fora Ponta Cap	239.5	Fora Ponta Cap	302.8	Fora Ponta Cap	322.8	Fora Ponta Cap	338.3	Fora Ponta Cap		
02:30	247.0	Fora Ponta Cap	254.8	Fora Ponta Cap	150.5	Fora Ponta Cap	141.3	Fora Ponta Cap	159.8	Fora Ponta Cap	108.8	Fora Ponta Cap	239.8	Fora Ponta Cap	300.8	Fora Ponta Cap	316.8	Fora Ponta Cap	334.3	Fora Ponta Cap		
03:30	231.8	Fora Ponta Cap	248.3	Fora Ponta Cap	150.3	Fora Ponta Cap	145.0	Fora Ponta Cap	155.8	Fora Ponta Cap	52.5	Ponta	262.5	Fora Ponta Cap	292.0	Fora Ponta Cap	313.0	Fora Ponta Cap	324.5	Fora Ponta Cap		
04:30	375.5	Fora Ponta Cap	350.8	Fora Ponta Cap	200.0	Fora Ponta Cap	189.0	Fora Ponta Cap	195.5	Fora Ponta Cap	0.0	Ponta	469.5	Fora Ponta Cap	440.5	Fora Ponta Cap	433.5	Fora Ponta Cap	472.5	Fora Ponta Cap		
05:30	863.0	Fora Ponta Cap	829.3	Fora Ponta Cap	480.8	Fora Ponta Cap	542.0	Fora Ponta Cap	591.3	Fora Ponta Cap	39.5	Fora Ponta Cap	818.8	Fora Ponta Cap	914.0	Fora Ponta Cap	906.0	Fora Ponta Cap	784.0	Fora Ponta Cap		
06:30	1472.3	Fora Ponta Ind	1446.3	Fora Ponta Ind	1010.5	Fora Ponta Ind	1027.5	Fora Ponta Ind	1076.0	Fora Ponta Ind	639.0	Fora Ponta Ind	1396.3	Fora Ponta Ind	1272.0	Fora Ponta Ind	1370.3	Fora Ponta Ind	1527.0	Fora Ponta Ind		
07:30	1450.5	Fora Ponta Ind	1416.5	Fora Ponta Ind	1035.8	Fora Ponta Ind	1003.3	Fora Ponta Ind	1075.0	Fora Ponta Ind	593.8	Fora Ponta Ind	1538.8	Fora Ponta Ind	1294.5	Fora Ponta Ind	1236.5	Fora Ponta Ind	1399.5	Fora Ponta Ind		
08:30	1547.3	Fora Ponta Ind	1550.0	Fora Ponta Ind	906.5	Fora Ponta Ind	1110.8	Fora Ponta Ind	937.5	Fora Ponta Ind	589.3	Fora Ponta Ind	1392.5	Fora Ponta Ind	1418.3	Fora Ponta Ind	1209.5	Fora Ponta Ind	1349.5	Fora Ponta Ind		
