Relatorio de Energia Eletrica	
Equipamento: 	SMART_BASE	
Medição: 	[1] SE 138KV - RETAGUARDA	
Relatorio: 	Consumo Ativo	
Data Inicial: 	02/04/2019	
Data Final: 	11/04/2019	


Resumo	
Consumo kWh	
Acumulado Ponta	6300.0	
Acumulado Fora Ponta Ind	33345.2	
Acumulado Fora Ponta Cap	11057.2	
Acumulado Fora Ponta (Ind+Cap)	44402.4	
Acumulado Total	50702.4	


	02/04/2019		03/04/2019		04/04/2019		05/04/2019		06/04/2019		07/04/2019		08/04/2019		09/04/2019		10/04/2019		11/04/2019		
Hora	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo	Demanda(kWh)	Periodo		
00:00	358.4	Fora Ponta Ind	725.2	Fora Ponta Ind	0.0	Fora Ponta Ind	688.8	Fora Ponta Ind	5.6	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	1400.0	Fora Ponta Ind	0.0	Fora Ponta Ind		
01:00	686.0	Fora Ponta Cap	14.0	Fora Ponta Cap	22.4	Fora Ponta Cap	422.8	Fora Ponta Cap	2.8	Fora Ponta Cap	674.8	Fora Ponta Cap	2.8	Fora Ponta Cap	694.4	Fora Ponta Cap	2.8	Fora Ponta Cap	422.8	Fora Ponta Cap		
02:00	8.4	Fora Ponta Cap	8.4	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	2.8	Fora Ponta Cap	0.0	Fora Ponta Cap	28.0	Fora Ponta Cap	361.2	Fora Ponta Cap	0.0	Fora Ponta Cap	14.0	Fora Ponta Cap		
03:00	714.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	2.8	Fora Ponta Cap	2.8	Fora Ponta Cap	33.6	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
04:00	0.0	Fora Ponta Cap	686.0	Fora Ponta Cap	25.2	Fora Ponta Cap	375.2	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Ponta	1103.2	Fora Ponta Cap	730.8	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
05:00	0.0	Fora Ponta Cap	364.0	Fora Ponta Cap	5.6	Fora Ponta Cap	5.6	Fora Ponta Cap	333.2	Fora Ponta Cap	0.0	Ponta	8.4	Fora Ponta Cap	1097.6	Fora Ponta Cap	42.0	Fora Ponta Cap	0.0	Fora Ponta Cap		
06:00	30.8	Fora Ponta Cap	8.4	Fora Ponta Cap	392.0	Fora Ponta Cap	632.8	Fora Ponta Cap	375.2	Fora Ponta Cap	364.0	Fora Ponta Cap	0.0	Fora Ponta Cap	0.0	Fora Ponta Cap	355.6	Fora Ponta Cap	0.0	Fora Ponta Cap		
07:00	434.0	Fora Ponta Ind	61.6	Fora Ponta Ind	22.4	Fora Ponta Ind	694.4	Fora Ponta Ind	0.0	Fora Ponta Ind	5.6	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind	0.0	Fora Ponta Ind		
08:00	0.0	Fora Ponta Ind	11.2	Fora Ponta Ind	8.4	Fora Ponta Ind	22.4	Fora Ponta Ind	0.0	Fora Ponta Ind	8.4	Fora Ponta Ind	663.6	Fora Ponta Ind	0.0	Fora Ponta Ind	722.4	Fora Ponta Ind	5.6	Fora Ponta Ind		
